"id","user_id","account_id","montant_investi","marche_id","strategie_id","ordre","total_lot","resultat","commentaire","detail","resultat_devise","created_at","date","image","respect_strategie","duree"
"21","1","10","50.00","10","17","Buy","-0.01","Perte","je vois",,"5666.00","2025-05-13 07:57:47","2025-05-21","https://fullmargin.net/wp-content/uploads/2025/05/photo_2025-05-08_21-32-05.jpg","oui","Scalping 0-1h"
"22","1","8","80.00","3","17","Buy","50.00","Gain",,"Break-even","6000.00","2025-05-13 07:59:42","2025-04-28",,"oui","Scalping 0-1h"
"23","1","8","90.00","12","18","Sell","5.99","Perte",,"Break-even","250.00","2025-05-13 08:00:52","2025-05-06",,"oui","Intraday 1h à 8h"
"24","1","8","600.00","13","20","Buy","0.00","Perte",,,"90.00","2025-05-13 08:01:29","2025-05-15",,"oui","Swing 1j - 7j"
"25","1","7","45.00","14","20","Buy","900.00","Gain",,"Trailing Stop","600.00","2025-05-13 08:02:13","2025-04-30",,"oui","Scalping 0-1h"
"26","1","9","200.00","3","18","Buy","2.00","Gain",,"Break-even","600.02","2025-05-13 08:03:30","2025-04-29",,"non","Scalping 0-1h"
"27","1","9","50.00","5","18","Sell","4.99","Perte",,"Stop Loss touché","50.00","2025-05-13 08:04:18","2025-05-05",,"oui","Intraday 1h à 8h"
"28","1","10","60.00","15","19","Buy","5.00","Perte","azerty","Take Profit atteint","599.99","2025-05-13 08:05:07","2025-05-13",,"oui","Intraday 1h à 8h"
"29","1","7","50.00","5","18","Buy","0.00","Gain","je ne savais pas","Break-even","560.00","2025-05-13 08:26:29","2025-05-07",,"non","Intraday 1h à 8h"
"30","1","9","60.00","3","20","Buy","555.00","Gain","Bien analysé","Break-even","55.00","2025-05-14 08:40:55","2025-05-13","https://fullmargin.net/wp-content/uploads/2025/05/Formation-Indices-Live-10-min.png","oui","Scalping 0-1h"
"31","1","7","80.00","6","19","Sell","5.00","Gain",,"Break-even","65.00","2025-05-15 13:47:11","2025-05-14",,"non","Intraday 1h à 8h"
"32","1","8","50.00","14","17","Buy","6.00","Gain","Bonne aitrise","Break-even","75.00","2025-06-02 08:24:41","2025-06-02",,"oui","Scalping 0-1h"
"33","1","8","55.00","11","17","Buy","0.00","Perte",,"Margin Call","44.00","2025-06-06 09:13:14","0000-00-00",,"oui","Scalping 0-1h"
"34","30","11","60.00","17","21","Buy","50.00","Perte","Bbn",,"150.00","2025-06-13 14:10:18","2025-06-13","https://fullmargin.net/wp-content/uploads/2025/06/17498237862016845020682304194744-scaled.jpg","oui","Scalping 0-1h"
"35","30","11","30.00","17","21","Buy","66.00","Gain","Je vois",,"600.00","2025-06-13 14:11:45","0000-00-00","https://fullmargin.net/wp-content/uploads/2025/06/17498238866032317555857323932896-scaled.jpg","non",
"36","33","13","5.00","18","22","Sell","0.00","Perte",,"Stop Loss touché","5.00","2025-06-18 17:44:03","2025-06-12",,"oui","Intraday 1h à 8h"
"37","33","13","5.00","21","22","Sell","0.00","Perte",,"Stop Loss touché","5.00","2025-06-18 17:45:16","2025-06-12",,"non","Scalping 0-1h"
