"id","user_id","strategie_name","description","created_at"
"17","1","SMC","Stratégie basée sur SMC","2025-05-13 07:38:09"
"18","1","Double",,"2025-05-13 07:38:26"
"19","1","Tweezer bot","rafinement de POI","2025-05-13 07:40:18"
"20","1","Sniper Gate",,"2025-05-13 07:40:31"
"21","30","Smc",,"2025-06-13 14:08:58"
"22","33","Système PEKA","Analyse multi-timeframe avec combinaison de PEKA SMC et PEKA ENTRY","2025-06-18 17:42:01"
"23","8","ZSEFDRRR","SFGHB","2025-06-18 18:17:07"
"24","33","M5 Entry","Analyse entièrement basée en M5 et entrée en M5 avec utilisation du PEKA ENTRY","2025-06-20 08:47:05"
"25","37","SMC","Prise de Tendance en D1/H4
Reperage des zones clées en H4 
Etude de l","2025-06-23 09:23:03"
"26","37","Price Action Only","Reperes des retests au niveau de la Trendline Up/down","2025-06-23 09:23:54"
"27","4","PEKA MMT",,"2025-06-24 18:38:18"
"28","4","PEKA IDM",,"2025-06-24 18:38:47"
"29","4","PEKA Directe","Pin bar dans la zone direct","2025-06-24 18:39:09"
"30","38","Outil PEKA","Analyse de la structure (H1/H4) avec le PEKA-SMC

Priorisez l’unité H1 (H4 peut servir de tendance globale).

Identifiez les zones clés détectées automatiquement par le PEKA-SMC.

Validation de la tendance

Assurez-vous que la zone détectée s’aligne avec votre lecture de la tendance (structure haussière ou baissière).

Affinage de l’entrée (M2 à M5)

Passez sur les petites unités de temps (entre M2 et M5).

Repérez les zones d’entrée PEKAENTRY situées à l’intérieur des grandes zones PEKA-SMC.

Recherche de patterns de confirmation
Dans les zones PEKA-ENTRY, attendez la formation d’un des trois patterns de validation :

PINBAR

ENGLOBANTE

DARKCLAUD ou PIERCING

Validation manuelle obligatoire
Même si le système détecte un pattern, vérifiez toujours manuellement sa fiabilité avant de prendre position.","2025-06-28 20:24:42"
"31","40","Confluence GA","Rebond dans la Goldene area+Support/Résistance ou Zone de prix, ou trend line","2025-07-03 20:10:51"
"32","40","Confluence ZR","Rebond dans la Zone de Rechargement +Support/Résistance ou Zone de prix, ou trend line","2025-07-03 20:11:31"
"33","40","Confluence ZA","Rebond dans la Zone d\'Alerte +Support/Résistance ou Zone de prix, ou trend line","2025-07-03 20:11:57"
"34","41","OB","Order block","2025-07-03 20:40:00"
"35","41","S/R",,"2025-07-03 20:40:17"
"36","40","Price Action","Rebond sur support, Résistance, Zone de prix","2025-07-03 20:48:43"
"37","45","S&D","Try it","2025-07-03 21:12:20"
"38","46","SMC","FVG;Premium and Discount,BOS CHOCH","2025-07-03 21:23:42"
"39","43","MS-M","Market structure méthode ( stratégie ICT basée sur principalement sur la structure du marché)","2025-07-03 21:26:56"
"40","48","Support Résistance Price Action","Stratégie basé sur les cassures et retest des support et résistance","2025-07-03 21:29:11"
"41","49","SMC","Prendre position après prise de liquidité selon le sens de la tendance générale","2025-07-03 21:34:35"
"42","50","Order block","Smc","2025-07-03 21:45:48"
"43","50","Imbalance","SMC","2025-07-03 21:46:01"
"44","50","Demande/supply","SMV","2025-07-03 21:46:35"
"45","49","Trandline","Achat après rejet sur le tradline","2025-07-03 21:47:02"
"46","50","Liquidité","SMC","2025-07-03 21:47:11"
"47","50","AMD","SMC","2025-07-03 21:47:23"
"48","50","SA","SMV","2025-07-03 21:47:36"
"50","53","Price action","Bsée sur l\'analyse technique","2025-07-03 22:42:29"
"51","55","SMC By CAL","IRL to ERL","2025-07-03 22:47:38"
"52","57","SMC","c est la strategie des liquidity","2025-07-03 22:57:02"
"53","57","PRICE ACTION","strategie de DEMANDE et SUPPLY ZONE","2025-07-03 22:58:49"
"55","57","Fx_Mawu+ SMC","strategie de liquidyter + supply and demande + price action","2025-07-03 23:00:36"
"56","42","CRT","Entrer sur DOJI ou un market shift","2025-07-03 23:00:55"
"57","58","ICT/SMC-IE","INTERNAL TO EXTERNAL","2025-07-03 23:01:18"
"58","58","ICT/SMC-EI","EXTERNAL TO INTERNAL","2025-07-03 23:01:40"
"60","61","SMC","Stratégie basée sur la SMC","2025-07-03 23:31:31"
"61","61","WYCKOFF","Décompte de Wyckoff","2025-07-03 23:32:37"
"62","61","SMC + WYCKOFF","SMC + Décompte de Wyckoff pour les confirmations d\'entrée","2025-07-03 23:33:04"
"63","64","ICT","LA STRATEGIE DE LA FORMATION","2025-07-03 23:36:28"
"64","62","VTC intra week",,"2025-07-03 23:42:00"
"65","62","VTC intra days",,"2025-07-03 23:42:19"
"66","68","SMC","BOS H4 + BB H1,M30,M15","2025-07-03 23:56:11"
"67","69","ICT SMC","Stratégie basée sur les prises de liquidités","2025-07-04 00:21:57"
"68","66","LA STRATEGIE SUR LA DIRECTION","Strategie Sur Les Zones D\\\'acteurs Principaux / Retour Sur Zone D\\\'appuie","2025-07-04 00:22:21"
"69","69","SMC ICT","Stratégie basée sur les fvg","2025-07-04 00:23:29"
"70","69","ICT SMC","Stratégie basée sur les Orders blocks OB","2025-07-04 00:24:36"
"71","66","STRATEGIE SUR LA PRISE DE LIQUIDITE","Strategie Sur les Equal Lows","2025-07-04 00:33:49"
"73","66","STRATEGIE DE CONTINUATION INSTANT PRE","Strategie de Price Action Confluence Complete","2025-07-04 00:42:01"
"74","73","SMC","CHEZ PEKA","2025-07-04 00:44:04"
"75","73","ST PEKA","CHEZ  PEKA","2025-07-04 00:44:37"
"77","76","xauusd","supply and demand zone; tendance; hh/hl; retournement de marché/bos/
ob","2025-07-04 01:40:55"
"78","79","S&D",,"2025-07-04 02:43:22"
"81","80","SMC","Prise de liquidé PDL & PDH +OB","2025-07-04 03:44:24"
"82","80","SMC","Unicorn model : combo d\'un Breaker block +FVG","2025-07-04 03:46:07"
"83","80","SMC","Balance price range : Price position un SIBI & BISI","2025-07-04 03:47:31"
"84","80","SMC","Prise liquidité HTF niveau clé","2025-07-04 03:48:24"
"85","80","SMC","Propulsion Block","2025-07-04 03:49:14"
"86","80","SMC","Prise d\'un swing sur HTF + confirmation OB","2025-07-04 03:53:55"
"87","80","SMC","Prise position OB+FVG","2025-07-04 04:00:04"
"88","84","PRICE ACTION","Stratégie basée sur l\'action du prix","2025-07-04 06:32:46"
"89","83","FKG stratégie",,"2025-07-04 06:32:58"
"90","84","SMC","Sur la prise de liquidités","2025-07-04 06:33:38"
"91","88","Daily stratégie","Stratégie basé sur les derniers niveau du jour précédent","2025-07-04 07:26:23"
"92","88","SMC","STRATÉGIE BASÉ SUR LES BOS / CHOCH ET PRISE DANS OB APRÈS 1 TOP OU 1 Bottom","2025-07-04 07:28:37"
"93","88","EQL/EQH","LIQUIDITÉS","2025-07-04 07:29:18"
"94","88","TRENDLINE","STRATÉGIE BASÉ SUR LES NIVEAU DE TRENDLINE","2025-07-04 07:29:48"
"95","90","HUGOFX","Zone clé 4H ou D + Confirmation 15\'\'","2025-07-04 07:55:37"
"96","89","smc","- Prise de liquidité 
- Choch
- Retracement sur le fibo 50 ou 62,8% 
- Identification de","2025-07-04 07:56:04"
"97","89","SMC 2","- Présence d\'un cp, Hidden base,  supply et demande Zone
- Avalement avec un bouigie ERC 
- Entrée après l\'avalement","2025-07-04 07:58:32"
"98","91","Multi time-frame","strategie de tendance","2025-07-04 08:24:06"
"99","94","BTMM",,"2025-07-04 08:49:42"
"100","94","Asian Breaker",,"2025-07-04 08:50:35"
"101","94","Polaris",,"2025-07-04 08:50:52"
"102","94","Macro Breaker",,"2025-07-04 08:55:36"
"103","96","AMD","Strategie concernant les liquididés","2025-07-04 09:06:39"
"104","96","Vwap","Strategie Vwap","2025-07-04 09:07:03"
"105","97","SMC","LIQUIDITE ET PIJARE","2025-07-04 09:08:48"
"106","100","SMC","Choch, bos, Ob, fvg","2025-07-04 09:21:07"
"107","100","Trendline + SMC",,"2025-07-04 09:22:01"
"108","98","Btmm/level+Emma+M/W",,"2025-07-04 09:49:19"
"109","98","Oder bloc+Fibo+structure",,"2025-07-04 09:50:32"
